MIP,PACSH,ACI / Ref,Systems,Category,Status,Description,
MIP-2974,,,"RTPS, SSC",,,INTL RTPS Integration with DWH SSCD,
MIP-2975,,,RTPS,,,INTL RTPS Integration with ACE Pelican,
MIP-2968,,,,,,Enterprise ISO 20022 Structured Remittance,
MIP-2976,,,RTPS,,,INTL RTPS Interface Isolation with Gateway,
MIP-2977,,,RTPS,,,INTL RTPS Full Payment Engine Configuration,
MIP-2978,,,RTPS,,,INTL RTPS with Transact branch by branch,
MIP-2979,,,RTPS,,,INTL RTPS Incoming Payment Settlement Model,
MIP-2980,,,RTPS,,,INTL RTPS Surrounding System Integration,
MIP-2981,,,,,,Direct Clearing Marketing Expansion,
MIP-2982,,,,,,Payment Status Messaging,
MIP-3000,,03754982,"MTS, UPF",,,Wait-Posting event not sent for messages with source BTR from MTS to UPF,
MIP-2957,PACSH-100530,03748411,,,,- ACI #03748411 for Target2 Camt.050 matching to camt.025  [ETA - Product ACI team revert by 26/08],
MIP-2996,,03753974,RPH,,,"RPH UAT Transactions not routing to BTRLORPRQ, BTRHIRPRQ and STP_HOLDQ",
MIP-3006,,03757107,CHATS,,,Inbound CHATS PACS004 with Intermediary Agent 1 processed with BIC and Name & address is populated in field Tag 57 instead of Tag 56 in translated MT.,
MIP-3007,,03757118,"CHAPS, CHATS, LYNX",,T,"CHAPS, CHATS, LYNX - Inbound Structured/Hybrid Address for CDTR Data element without Account No. is mapped as TAG 59 instead of TAG 59F under MT103 & MT202 COV – SEQ B in Translated M",
MIP-3007,,03757118,"CHAPS, CHATS, LYNX",,U,"CHAPS, CHATS, LYNX - Inbound Structured/Hybrid Address for CDTR Data element without Account No. is mapped as TAG 59 instead of TAG 59F under MT103 & MT202 COV – SEQ B in Translated MT",
MIP-3008,,03757127,"CC UI, RPH, RTPS",,,"RTPS/RPH - Inbound PACS 008, 009, 009 COV, 004 processed with Structured/Hybrid Address data elements are mapped to Address lines freeform - Address Line fields instead of corresponding Structured Address fields under CC UI.",
MIP-3009,,03757133,"MTS, RTPS, RTPS Intl",,,ACI #03757133 & #03757134 - RTPS Intl - Inbound PACS009 with Intermediary Agents 1/2/3 are not mapped in sequence under MTS UI.,
MIP-3010,,03757266,"RPH, SSI, US RPH",,,"US RPH - SSI Outbound PACS MX message with Instructing bank - SBOSUS3F is routed to BTRLOEXCQ with exception ""Not Str Thru: Ambiguous SBK party ?SSBOSUS3F""",
MIP-3011,,03757391,"MTS, TARGET2",,,TARGET2 - ACK TRN's are not received in MTS and matched with original outbound transaction,
MIP-3012,,03757393,TARGET2,,,TARGET2 - Outbound PACS009 with Receiver/Cdtr Agt - BCITITMMXXX is routed to EXCQ due to TGT Channel Derivation issue.,
MIP-3013,,03757439,TARGET2,,,TARGET2 Outbound CAMT050 MX Message - SAA Header Section populated with incorrect values under certain data elements.,
MIP-3014,,03757445,TARGET2,,,TARGET2 Outbound CAMT050 MX Message - APP HEADER Section populated with incorrect values under certain data elements.,
MIP-3016,,03756682,CC UI,,,CC UI --> Exception & Verification screen does not display any search results while performing search using TRN,
MIP-3027,PACSH-107336,03713432,,,,[TEsting 35 Use Cases] ACI Ticket 03713432 - ABA,
MIP-3031,,03761584,CHAPS,,,03761584-H24-702889-CHAPS MUG 2025 - Instruction for Cdtr Agt missed in CHAPS Outbound PACS008 message for specific keywords,
MIP-3035,,03767962,RITS,,,[03767962]H24-707995-RITS Outbound Exceptions | BSB for Dbtr cannot be found on AUX,
MIP-3036,,03767966,RITS,,,[03767966]H24-707999-RITS Outbound Exceptions | BSB for CdtrAgnt cannot be found on AUX,
MIP-3034,,,,,,BSB for CdtrAgnt cannot be found on AUX for a valid BSB,
MIP-3042,,03771764,,,,03771764-H24-711114-Huge no of errors in mcas_reject2,
MIP-3043,,03772664,"MTS, SSC",,,03772664-H24-711901-SSC | MTS - Invalid Country of Residence Country Code.,
MIP-3044,,03772737,"BIS, RITS",,,03772737-H24-711986-RITS Payment Failure During Penny Testing RITS MX Outbound message in SSR2025 mode failed to BIS_EXCQ,
MIP-3045,,03772783,"BIS, RITS, RTPS, SSC",,,03772783-H24-712032-SSC-RTPS PROD-RITS Outbound payments are not routed to BIS_EXCQ for incorrect BBAN format,
MIP-3046,,03772743,RPH,,,03772743-H24-711992-RPH-Prod Env : Control Center slowness issue,
MIP-3047,,03772746,,,,03772746-H24-711995-Data retention policy in MCAS,
MIP-3048,,03772839,,,,03772839-H24-712079-Java Errors in MCAS_REJECT2,
MIP-3049,,03772835,,,,03772835-H24-712075-Script Errors in mcas_reject2,
MIP-3052,,03776524,"RPH, UPF",,,03776524-H24-715261-Bank adapter Transactions are duplicated in UPF(RPH PROD),
